object_id,group_id,category,start_north,start_east,start_down,end_north,end_east,end_down,travel_distance
1,1,1,5.960569836134792,-1.6591716140542159,7.77226245720831,-0.7281532784747862,-8.347425745692211,52.88336655490744,46.0921194256321
2,1,1,9.209216749834905,-5.633692631219425,6.510720523031576,0.2544524659733156,-0.9813913967553818,-30.276651270458633,38.14632922875015
3,1,1,-20.699013990156395,-6.747450350891672,-12.153973444013086,-37.507844917041474,-32.89122205598936,14.977292145898218,41.256989330381096
4,1,1,-2.709315605838428,0.810338456255086,-17.096978234561483,0.741307640884306,-34.995219324809774,-5.409617533354096,37.82246910189927
5,2,2,90.99041965121792,45.62459375310085,-12.025599183440955,90.39349180995274,-1.153696877991294,24.352246504010935,59.26139092254469
6,2,2,81.68734525043467,53.132953925071334,-32.39505185819664,92.58540155645213,94.0137821560414,-22.908261992083396,43.359069755507846
7,2,2,98.2652757641764,45.48344456616067,-25.177829855511412,80.50146563666564,86.24970153796818,-11.926730649259373,46.40077895802646
8,2,2,73.554397669559,54.86125954092192,-8.776234206244748,92.33774218496856,86.52117440040132,19.82149900139646,46.61538999847021
9,2,2,87.41173715166042,45.36181436223178,1.968951471053459,65.85514137215651,37.009580046015415,-47.80170385177283,54.877725635611796
10,3,3,178.46828076654793,114.62546480309557,18.412320514274814,226.421008743671,131.90584890636103,-12.414025258971982,59.567939270517996
11,3,3,206.50512089915145,127.68465819638745,-6.644868703979127,140.33234016324798,148.445294077873,-4.446125570062991,69.38786193488403
12,3,3,194.61786769161438,101.65169397763904,-41.77624046281607,207.66377709578262,155.64159339517718,-60.70950367966171,58.681968672974925
13,3,3,185.44711514792263,90.96837321547834,10.477238118637334,141.31910638422733,133.7225658209041,18.56361176076203,61.97250665795811
14,3,3,217.435609829592,87.36304431020766,-11.897918638759828,161.77747856256445,98.62463154081576,-1.9698693041887605,57.647351081207056
15,3,3,200.0920422195643,95.77743159924735,-31.476673356907455,177.8895936907216,43.80262774129016,-41.92542162702232,57.47612806340785
