object_id,group_id,category,start_north,start_east,start_down,end_north,end_east,end_down,travel_distance
1,1,1,104.96714153011233,48.61735698828815,6.476885381006925,96.60623763685035,40.257039323740656,62.86576550313084,57.61514928204013
2,1,1,107.67434729152909,45.30525614065048,5.425600435859646,96.4808919367021,51.120632683730534,-40.55861430600312,47.68291153593769
3,1,1,82.75082167486967,44.37712470759027,-10.128311203344238,61.739783016263324,11.69741007621817,23.785770784044892,51.57123666297637
4,1,1,97.74223699513465,50.67528204687924,-14.247481862134567,102.05551605353807,5.918334820548161,0.3617190143746676,47.27808637737409
5,1,1,93.99361310081196,47.083062502067236,-6.017066122293969,93.39668525954677,0.3047718709750953,30.36077956515792,59.26139092254469
6,2,2,181.68734525043467,-26.86704607492867,-34.39505185819664,188.22617903404515,-2.3385491363466286,-28.702977938528694,26.015441853304708
7,2,2,198.26527576417638,-34.51655543383933,-27.177829855511412,187.60698968766994,-10.056801250754823,-19.22717033176019,27.840467374815873
8,2,2,173.554397669559,-25.138740459078075,-10.776234206244748,184.82440437880473,-6.14279154339043,6.382405718339978,27.969233999082125
9,3,3,143.28625981421888,77.52630099319029,0.6501074512285117,126.04098319061576,70.84451354021719,-39.16641680703251,43.90218050848944
10,3,3,140.43034700735464,86.50020657915358,8.849920228566583,172.39883232543667,98.02046264799723,-11.700976953597946,39.711959513678664
11,3,3,152.8911648440673,92.30429253172775,-2.286608312879612,108.77597768679831,106.14471645271811,-0.820779556935521,46.258574623256024
12,3,3,147.60794119627306,80.73408621228401,-17.900551316807142,156.30521413238523,116.72735249064277,-30.522726794704234,39.12131244864995
