object_id,group_id,category,start_north,start_east,start_down,end_north,end_east,end_down,travel_distance
1,1,1,9.934283060224654,-2.765286023423693,12.95377076201385,-3.443163168994502,-16.141794286699685,103.1759789574121,92.1842388512642
2,1,1,15.348694583058176,-9.389487718699042,10.851200871719293,-2.5608339846650026,-0.0848852497709558,-62.723542715261125,76.2926584575003
3,1,1,-34.498356650260654,-11.245750584819454,-20.256622406688475,-68.11601850403082,-63.53329399501482,34.00590877313414,82.51397866076219
4,2,1,45.93602659124236,26.21550768438263,-27.64546735184222,51.97461727300714,-36.44421843248088,-7.192586124729292,66.18932092832372
5,2,1,39.18850358146151,19.749512503721018,-12.830719020129145,38.35280460369025,-45.74009437980797,38.0982649423035,82.96594729156257
6,2,1,28.024814300521598,28.7595447100856,-37.27406222983596,43.28209312894603,85.99270423344369,-23.992556417277427,60.702697657710985
7,2,1,47.91833091701167,19.580133479392803,-28.613395826613694,23.048996738496626,76.65289323992332,-10.061856937860838,64.96109054123704
8,3,2,73.554397669559,54.86125954092192,-9.776234206244748,96.09441108805049,92.8531573722972,24.541045642924704,55.93846799816425
9,3,2,87.41173715166042,45.36181436223178,0.968951471053459,61.543822216255734,35.339133182772144,-58.75583491633808,65.85327076273416
10,3,2,82.05690063878994,62.18788733591297,16.343600428562343,130.00962861591302,79.46827143917844,-14.482745344684453,59.567939270517996
11,4,3,154.33674726610096,93.45643879759163,-6.429912469319419,99.19276331951471,110.75696869882958,-4.597626524389304,57.82321827907003
12,4,3,146.41191179440958,76.10112931842603,-29.850826975210715,157.28350296454977,121.0927121663745,-45.62854632258208,48.90164056081244
