object_id,group_id,category,start_north,start_east,start_down,end_north,end_east,end_down,travel_distance
1,1,1,102.48357076505616,49.308678494144075,-1.7615573094965375,99.8647912809951,46.69008262703999,15.900413725956124,18.04605971281605
2,1,1,103.83717364576455,47.65262807032524,-2.287199782070177,100.53353016557536,49.36898197467228,-15.859009952203522,14.073164614375075
3,1,1,91.37541083743484,47.188562353795135,-10.06415560167212,85.00808426483235,37.28508167688108,0.21339606687761226,15.628494665190548
4,1,1,98.87111849756732,50.337641023439616,-12.123740931067283,100.14026962577087,37.168233410784296,-7.825089366093625,13.911234550949635
5,1,1,96.99680655040598,48.54153125103362,-8.008533061146984,96.80839938882292,33.77699129787667,3.473334891188278,18.704556369017876
6,1,1,93.89578175014489,51.04431797502378,-14.798350619398878,96.99828262613866,62.682430482104834,-12.097614539173861,12.343627902203139
7,1,1,99.4217585880588,48.494481522053555,-12.392609951837137,94.23040607968954,60.40814243535415,-8.5200664710616,13.560311583210582
8,1,1,91.18479922318633,51.620419846973974,-6.925411402081583,96.68342209121214,60.888520727691244,1.446268607313593,13.646155999388082
9,2,1,115.80391238388681,58.45393812074393,-5.34368284298218,106.79806883304752,54.96456919064068,-26.13670321804047,22.926635381367078
10,2,1,114.01896687959665,64.06262911197099,-0.21879985714588557,129.94524074176425,69.8018673426583,-10.456983286226691,19.783969635258998
11,2,1,121.80697802754207,67.69018283232984,-7.1791301955497575,98.25723843548573,75.078531384973,-6.3966358276585105,24.693930967442018
12,2,1,118.50496324767066,60.458803882677515,-16.937844573004462,122.80476325689317,78.25332957049817,-23.17805695163667,19.340984336487463
13,2,1,115.95753198553406,57.491214782077314,-2.4229894114896293,101.01410592840206,71.96941431409849,0.31536498012857317,20.986253328979053
14,2,1,124.84322495266444,56.48973453061324,-8.638310732988842,106.66909232528701,60.16699740783636,-5.3964899741856875,18.823675540603528
