object_id,group_id,category,time_percent,north,east,down
1.0,1.0,1.0,0.0,104.96714153011233,48.61735698828815,6.476885381006925
1.0,1.0,1.0,2.0408163265306123,104.54056480086427,48.19081016866838,9.353869060707124
1.0,1.0,1.0,4.081632653061225,104.1139880716162,47.76426334904861,12.230852740407325
1.0,1.0,1.0,6.122448979591837,103.68741134236815,47.33771652942884,15.107836420107525
1.0,1.0,1.0,8.16326530612245,103.26083461312008,46.91116970980907,17.984820099807724
1.0,1.0,1.0,10.204081632653061,102.83425788387203,46.4846228901893,20.861803779507923
1.0,1.0,1.0,12.244897959183675,102.40768115462397,46.05807607056953,23.738787459208126
1.0,1.0,1.0,14.285714285714286,101.9811044253759,45.63152925094976,26.615771138908322
1.0,1.0,1.0,16.3265306122449,101.55452769612785,45.20498243132999,29.492754818608525
1.0,1.0,1.0,18.367346938775512,101.1279509668798,44.77843561171022,32.36973849830873
1.0,1.0,1.0,20.408163265306122,100.70137423763173,44.35188879209045,35.24672217800892
1.0,1.0,1.0,22.448979591836736,100.27479750838367,43.925341972470676,38.123705857709126
1.0,1.0,1.0,24.48979591836735,99.8482207791356,43.49879515285091,41.00068953740932
1.0,1.0,1.0,26.53061224489796,99.42164404988755,43.07224833323114,43.87767321710952
1.0,1.0,1.0,28.571428571428573,98.99506732063949,42.64570151361137,46.75465689680972
1.0,1.0,1.0,30.612244897959183,98.56849059139142,42.2191546939916,49.631640576509916
1.0,1.0,1.0,32.6530612244898,98.14191386214337,41.792607874371825,52.50862425621012
1.0,1.0,1.0,34.69387755102041,97.71533713289531,41.36606105475206,55.385607935910315
1.0,1.0,1.0,36.734693877551024,97.28876040364725,40.939514235132286,58.262591615610525
1.0,1.0,1.0,38.775510204081634,96.86218367439919,40.51296741551252,61.13957529531072
1.0,1.0,1.0,40.0,96.60623763685035,40.257039323740656,62.86576550313084
2.0,1.0,1.0,0.0,107.67434729152909,45.30525614065048,5.425600435859646
2.0,1.0,1.0,2.0408163265306123,107.10325263056853,45.6019590255015,3.079467030662566
2.0,1.0,1.0,4.081632653061225,106.53215796960797,45.89866191035252,0.7333336254654856
2.0,1.0,1.0,6.122448979591837,105.96106330864741,46.195364795203545,-1.6127997797315947
2.0,1.0,1.0,8.16326530612245,105.38996864768684,46.49206768005457,-3.958933184928675
2.0,1.0,1.0,10.204081632653061,104.81887398672629,46.7887705649056,-6.3050665901257545
2.0,1.0,1.0,12.244897959183675,104.24777932576572,47.08547344975662,-8.651199995322836
2.0,1.0,1.0,14.285714285714286,103.67668466480517,47.38217633460764,-10.997333400519917
2.0,1.0,1.0,16.3265306122449,103.1055900038446,47.678879219458665,-13.343466805716997
2.0,1.0,1.0,18.367346938775512,102.53449534288404,47.97558210430969,-15.68960021091408
2.0,1.0,1.0,20.408163265306122,101.96340068192347,48.27228498916071,-18.035733616111155
2.0,1.0,1.0,22.448979591836736,101.39230602096292,48.56898787401173,-20.38186702130824
2.0,1.0,1.0,24.48979591836735,100.82121136000235,48.865690758862755,-22.728000426505318
2.0,1.0,1.0,26.53061224489796,100.2501166990418,49.16239364371378,-25.074133831702394
2.0,1.0,1.0,28.571428571428573,99.67902203808123,49.45909652856481,-27.42026723689948
2.0,1.0,1.0,30.612244897959183,99.10792737712067,49.75579941341583,-29.766400642096553
2.0,1.0,1.0,32.6530612244898,98.53683271616012,50.05250229826685,-32.112534047293636
2.0,1.0,1.0,34.69387755102041,97.96573805519955,50.349205183117874,-34.458667452490715
2.0,1.0,1.0,36.734693877551024,97.39464339423898,50.6459080679689,-36.80480085768781
2.0,1.0,1.0,38.775510204081634,96.82354873327843,50.94261095281992,-39.150934262884874
2.0,1.0,1.0,40.0,96.4808919367021,51.120632683730534,-40.55861430600312
3.0,1.0,1.0,0.0,82.75082167486967,44.37712470759027,-10.128311203344238
3.0,1.0,1.0,2.0408163265306123,81.67882990657343,42.70979232843863,-8.3980008978652
3.0,1.0,1.0,4.081632653061225,80.60683813827718,41.04245994928699,-6.667690592386163
3.0,1.0,1.0,6.122448979591837,79.53484636998094,39.375127570135355,-4.937380286907126
3.0,1.0,1.0,8.16326530612245,78.4628546016847,37.70779519098372,-3.207069981428088
3.0,1.0,1.0,10.204081632653061,77.39086283338845,36.04046281183208,-1.4767596759490509
3.0,1.0,1.0,12.244897959183675,76.31887106509221,34.37313043268044,0.2535506295299861
3.0,1.0,1.0,14.285714285714286,75.24687929679598,32.7057980535288,1.9838609350090248
3.0,1.0,1.0,16.3265306122449,74.17488752849974,31.038465674377164,3.714171240488062
3.0,1.0,1.0,18.367346938775512,73.1028957602035,29.371133295225526,5.4444815459671005
3.0,1.0,1.0,20.408163265306122,72.03090399190725,27.70380091607389,7.174791851446136
3.0,1.0,1.0,22.448979591836736,70.95891222361101,26.03646853692225,8.905102156925176
3.0,1.0,1.0,24.48979591836735,69.88692045531477,24.369136157770615,10.63541246240421
3.0,1.0,1.0,26.53061224489796,68.81492868701852,22.70180377861898,12.365722767883247
3.0,1.0,1.0,28.571428571428573,67.74293691872228,21.03447139946734,14.096033073362287
3.0,1.0,1.0,30.612244897959183,66.67094515042604,19.367139020315705,15.82634337884132
3.0,1.0,1.0,32.6530612244898,65.59895338212979,17.699806641164063,17.55665368432036
3.0,1.0,1.0,34.69387755102041,64.52696161383355,16.03247426201243,19.286963989799396
3.0,1.0,1.0,36.734693877551024,63.454969845537306,14.365141882860787,21.01727429527844
3.0,1.0,1.0,38.775510204081634,62.38297807724106,12.697809503709149,22.74758460075747
3.0,1.0,1.0,40.0,61.739783016263324,11.69741007621817,23.785770784044892
